ID,名字,描述,获得方式
26019,@Null@,"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26020,Spring (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26021,Summer (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26022,Autumn (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26023,Little Blue (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26024,Fabel (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26025,Maggi (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26026,Snowy (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26027,Pangeran hiburan (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26028,Sakura  (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26029,Lighting (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26030,Winter (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26031,Rarity (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26032,Applejack (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26033,Aladdin (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26034,Pinocchio (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26035,Tasha (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26036,Amy (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26037,Jessi (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26038,Alyssa (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26039,Alyssa Skin Swap (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26040,Vampiric Magician Lotte (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26041,Lunar Fairy  (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26042,Jade (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26043,Trumpeter Nita (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26044,Drummer Nick (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26045,Dragonbell (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26046,Nineteen  (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26047,Sweetheart Teddy  (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26048,Dreamy (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26049,Polly (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26050,Jessi Skin Swap( (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26051,Siren (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26052,Amy Skin Swap (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26053,Sky Marquis (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26054,Yuer (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26055,Zhili (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26056,Casper (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26057,Olivia (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26058,Yuna (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26059,Andrew (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26060,Extreme Beast Agent Wolf Silver(1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26061,Princess Soul (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26062,Dragonsky (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26063,Turkey Expert Torque (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26064,Strawberry Jam Berry (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26065,Ganesh (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26066,EDM Queen Sasha (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26067,Penjaga Surgawi Yuni (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26068,Yun Shang (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26069,Xiang Er (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26070,Ting Huai (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26071,Lion Dancer Dragonet (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26072,Honeycomb (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26073,Deity Shen (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26074,Yun Yan (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26075,Cang Hong (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26076,Katrina (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26077,Spider Girl (1 day),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26078,Miranda (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26079,Emperor Hero (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26080,Hu Xinyu (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26081,Hu Xiaofeng (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26082,Evelyn (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26083,Tyrinn (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26084,Frost (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26085,Peri Bunga Kupu-Kupu (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26086,Pahlawan Api (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26087,Carnival Queen (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26088,Bamboo Dwen (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26089,Baseball Hero (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26090,Mota (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26091,Flower Fire (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26092,Flash (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26093,Beacon (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26094,Dreamy Poet (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26095,Kapten Football (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26096,Shirley (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26097,Budi (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26098,Dewi (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26099,Shadowbringer (1 Hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26100,Princess Lotus (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26101,Nightmare Moon (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26102,Glicita (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26103,Liko (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26104,Awakened Nini (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26105,Awakened Kaka (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26106,Silver Bell (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",
26107,Corell (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",
26108,Armor Hero XT (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",
26109,Hawkman (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",
26110,Putri Ramput Panjang · Lola (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",
26111,Mega (1 hari),"Kegunaan: 1 hari pakaian. Jika anda telah buka kunci pakaian secara kekal, anda dapat Mini Bean.",
26112,Rubah Pemimpi-Huayang (1 hari),"Kegunaan: 1 hari pakaian. Jika anda telah buka kunci pakaian secara kekal, anda dapat Mini Bean.",
26113,Dream Fox · Huayang (1 hari),"Gunakan: Dapatkan 1 hari penggunaan untuk gaun. Jika gaun telah dibuka secara permanen, dapatkan beberapa kacang mini.",
26114,Dream Fox · Huayang (1 hari),"Gunakan: Dapatkan 1 hari penggunaan untuk gaun. Jika gaun telah dibuka secara permanen, dapatkan beberapa kacang mini.",
26115,Sunset Shimmer (1 hari),"Penggunaan: 1 hari skin Trial. Jika avatar ini sudah dibuka permanen, dapatkan beberapa Mini Beans.",
26116,Trixie Lulamoon (1 hari),"Penggunaan: 1 hari skin Trial. Jika avatar ini sudah dibuka permanen, dapatkan beberapa Mini Beans.",
26117,Shining Armor (1 hari),"Penggunaan: 1 hari skin Trial. Jika avatar ini sudah dibuka permanen, dapatkan beberapa Mini Beans.",
26118,Lumiere (1 hari),"Penggunaan: 1 hari skin Trial. Jika avatar ini sudah dibuka permanen, dapatkan beberapa Mini Beans.",
26119,Lucia(1 hari),"Penggunaan: 1 hari skin Trial. Jika avatar ini sudah dibuka permanen, dapatkan beberapa Mini Beans.",
26120,Thumbelina Tiny(1 hari),"Kegunaan: 1 hari skin Trial. Jika custom ini sudah dibuka permanen, dapatkan beberapa Mini Beans.",
26121,Bayi Naga (1 hari),"Penggunaan: 1 hari skin Trial. Jika avatar ini sudah dibuka permanen, dapatkan beberapa Mini Beans.",
26122,Tang San(1 hari),"Penggunaan: 1 hari custom Trial. Jika custom permanen dibuka, mendapatkan beberapa Mini Bean.",
26123,Xiao Wu (1 hari),"Penggunaan: 1 hari custom Trial. Jika custom permanen dibuka, mendapatkan beberapa Mini Bean.",
26124,Bibidong (1 hari),"Penggunaan: 1 hari custom Trial. Jika custom permanen dibuka, mendapatkan beberapa Mini Bean.",
26125,Oscar (1 hari),"Penggunaan: 1 hari custom Trial. Jika custom permanen dibuka, mendapatkan beberapa Mini Bean.",
26126,Ma Hongjun (1 hari),"Penggunaan: 1 hari custom Trial. Jika custom permanen dibuka, mendapatkan beberapa Mini Bean.",
26127,Qi Luo (1 hari),"Penggunaan: 1 hari custom Trial. Jika custom permanen dibuka, mendapatkan beberapa Mini Bean.",
26128,Dai Mumbai (1 hari),"Penggunaan: 1 hari custom Trial. Jika custom permanen dibuka, mendapatkan beberapa Mini Bean.",
26129,Zhu Zhuqing (1 hari),"Penggunaan: 1 hari custom Trial. Jika custom permanen dibuka, mendapatkan beberapa Mini Bean.",
26130,Ning Rongrong (1 hari),"Penggunaan: 1 hari custom Trial. Jika custom permanen dibuka, mendapatkan beberapa Mini Bean.",
26131,Putri Salju Meowphy (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26132,Fluffy Clouds Nym (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26133,Peri Merak Hijau Huanxi (1 hari),"Kegunaan: Buka kunci skin selama 1 hari. Jika skin telah dibuka secara permanen, Anda bisa mendapatkan Mini Beans.",
26134,Mei Kewen (1 hari),"Penggunaan: 1 hari custom Trial. Jika custom permanen dibuka, mendapatkan beberapa Mini Bean.",
26135,Aerobat ( 1 hari),"Penggunaan: 1 hari custom Trial. Jika custom permanen dibuka, mendapatkan beberapa Mini Bean.",
26136,Chaser (1 hari),"Gunakan: Dapatkan pakaian selama 1 hari penggunaan. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
26137,Suku Elang Kaka (1 Hari),"Kegunaan : Dapatkan 1 hari Trial untuk skin ini. Jika skin telah dibuka secara permanen, dapatkan Mini Bean.",
26138,Ketua Suku Nini (1 Hari),"Kegunaan: Dapatkan 1 hari Trial untuk skin ini. Jika skin telah dibuka secara permanen, dapatkan Mini Bean.",
26139,Chief (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26140,Istri Kepala (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26141,Kaka (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26142,Nini (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26143,Bearly (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26144,Kapten Tom (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26145,Agen Laura (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26146,Catty Cindy (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26147,Asisten Peter (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26148,Profesor Stephen (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26149,Coolism Lasher (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26150,Pink Fantasy Tessa (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26151,Peri Merak Merah Muda Huanxi (1 hari),"Kegunaan: Buka kunci skin selama 1 hari. Jika skin telah dibuka secara permanen, Anda bisa mendapatkan Mini Beans.",
26152,Gudong (1 hari),"Kegunaan: Dapatkan 1 hari Trial untuk skin ini. Jika skin telah dibuka secara permanen, dapatkan Mini Bean.",
26153,Creamy Orange Heather (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26154,Pondside Summer Hiyama (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26155,Kiwi (1 hari),"Penggunaan: Dapatkan pakaian ini selama 1 hari. Jika pakaian telah dibuka secara permanen, dapatkan mini beans.",
26156,Kesemak (1 hari),"Penggunaan: Dapatkan pakaian ini selama 1 hari. Jika pakaian telah dibuka secara permanen, dapatkan mini beans.",
26157,Kelly (1 hari),"Gunakan untuk mendapatkan Kulit selama 1 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
26158,Gaun Salju (1 hari),"Penggunaan: Dapatkan pakaian ini selama 1 hari. Jika pakaian telah dibuka secara permanen, dapatkan mini beans.",
26159,Bambu (1 hari),"Penggunaan: Dapatkan pakaian ini selama 1 hari. Jika pakaian telah dibuka secara permanen, dapatkan mini beans.",
26160,Naga Demon · Carper (1 hari),"Penggunaan: Dapatkan pakaian ini selama 1 hari. Jika pakaian telah dibuka secara permanen, dapatkan mini beans.",
26161,Ghast Hunter Daemon (1 hari),"Penggunaan: Dapatkan pakaian ini selama 1 hari. Jika pakaian telah dibuka secara permanen, dapatkan mini beans.",
26162,Orion (1 Hari),"Kegunaan: Buka kunci skin selama 1 hari. Jika kulit telah dibuka secara permanen, Anda bisa mendapatkan Mini Beans.",
26163,Feifei(1 Hari),"Kegunaan: Buka kunci skin selama 1 hari. Jika kulit telah dibuka secara permanen, Anda bisa mendapatkan Mini Beans.",
26164,Cahaya Fajar · Zhuyin (1 hari),Penggunaan: Dapatkan skin ini selama 1 hari. Dapatkan Mini Bean jika telah diunlock secara permanen.,
