ID,名字,描述,获得方式
27289,Bahar Kiraz (Kalıcı),"Bu Görünümün kilidini kalıcı olarak açmak için bunu kullanın. Görünümün kilidi kalıcı olarak açılmışsa, bir miktar Mini Fasulye alacaksınız.",
27290,Frey (Kalıcı),"Bu Görünümün kilidini kalıcı olarak açmak için bunu kullanın. Görünümün kilidi kalıcı olarak açılmışsa, bir miktar Mini Fasulye alacaksınız.",
27291,Berry Kutsaması Lin Yun (Kalıcı),"Bu Görünümün kilidini kalıcı olarak açmak için bunu kullanın. Görünümün kilidi kalıcı olarak açılmışsa, bir miktar Mini Fasulye alacaksınız.",
27292,Donut Tavşan Yue Po (Kalıcı),"Bu Görünümün kilidini kalıcı olarak açmak için bunu kullanın. Görünümün kilidi kalıcı olarak açılmışsa, bir miktar Mini Fasulye alacaksınız.",
28000,Yukarıdakiler kalıcı elbise eşyaları için ayrılmıştır,Oyun sürümü çok düşük,
30000,Yukarıdakiler 0 için ayrılmıştır,Oyun sürümü çok düşük,
32000,Yukarıdakiler 0 için ayrılmıştır,Oyun sürümü çok düşük,
32001,Kiraz - Dinamik (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32002,Eski Şehir - Dinamik (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32003,Pembe Baa Koyun - Dinamik (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32004,Sevimli Kaplan Kız - Dinamik (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32005,Mürekkep Yolu - Dinamik (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32006,Şeker - Dinamik (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32007,Küçük ızgara çekme - dinamik (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32008,Xiaoxianxian - Dinamik (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32009,Yangjiabao - Dinamik (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32010,Anılar - Dinamik (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32011,Kiraz (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32012,Eski Şehir (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32013,Pembe Koyun (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32014,Sevimli Kaplan Kız (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32015,Mürekkep Yolu (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32016,Şeker (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32017,Küçük ızgara çekme (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32018,Küçük peri perisi (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32019,Yangjiabao (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32020,Han 'ı hatırlamak (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sözcü faaliyeti edinme
32021,Oyun sürümü çok düşük (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Oyun sürümüne katılmak çok düşük aktivite
32022,Oyun sürümü çok düşük (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Oyun sürümüne katılmak çok düşük aktivite
32023,Gevrek Baget (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Almak için Keyfini Çıkar Kartını satın alın
32024,Tatlı Mantarlar (30 Gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Almak için Keyfini Çıkar Kartını satın alın
32025,Harikalar Diyarı (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Çocuk Rüyaları Sihirbazı 'nı satın aldıktan sonra alın
32026,Mucize Dansı (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.","Bala La Little Demon Fairy 'in gerçek yetkisi, Bala La Little Demon Fairy' in faaliyetlerine katılarak elde edilir."
32027,Cailing Kalesi üzerinde uçuş (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.","Bala La Little Demon Fairy 'in gerçek yetkisi, Bala La Little Demon Fairy' in faaliyetlerine katılarak elde edilir."
32028,Kiraz Doğum Günü Pastası (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Doğum günü partileri için kutsama hediyeleri
32029,Çilekli Doğum Günü Pastası (30 Gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Doğum günü partileri için kutsama hediyeleri
32030,Şeker Doğum Günü Pastası (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Doğum günü partileri için kutsama hediyeleri
32031,Çikolatalı Doğum Günü Pastası (30 Gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Doğum günü partileri için kutsama hediyeleri
32032,İnci Hediye Kutusu Doğum Günü Pastası (30 Gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Doğum günü partileri için kutsama hediyeleri
32033,Işık ve Ritim (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Kart yerleştirmenin tadını çıkarın
32034,Carol melodik (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Kart yerleştirmenin tadını çıkarın
32035,Bulut Luan Söğüt Duman (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Yao Yue Peri Giydirme Cildini satın alın
32036,Ay Gölge Yayıncısı (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",İşletme faaliyetlerinin sınırlı süreli teslimatı
32037,Masum Dua (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Almak için bir hediye paketi satın alın.
32038,Ay Gölge Kalp Zili (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Ejderha Yüzüğü Wushuang Giydirme Cildini satın almak için
32039,Mutlu Parti (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",İşletme faaliyetlerinin sınırlı süreli teslimatı
32040,Warbler ve Song (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Almak için alışveriş merkezi hediye paketini satın alın.
32041,Tatlı Berry (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Kartın tadını çıkar
32042,Sıcak Ziyafet (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Kartın tadını çıkar
32043,Çocuk yıldızı renkli rüya (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Mini Yıldız Fabrika Etkinliği Get
32044,Ruh Tilki Phoenix Peri (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sadece Üyeler Avatar Çerçevesini Giydirir
32045,Xianjian Kask Hong (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Sadece Üyeler Avatar Çerçevesini Giydirir
32046,Büyük Üye Avatar Frame (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Üye Özel Avatar Çerçevesi
32047,Çocuk yıldızı renkli rüya (7 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Mini Yıldız Fabrika Etkinliği Get
32048,Uyanmış Laurel (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.","""Uyanış"" mikro etkinliği filmi kazandı"
32049,Çocuk Eğlencesi Sevgilim (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Aktivite kazanımı
32050,Birlikte müzik çalın (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",2021 Avatar Çerçevesini Anmak
32051,2021 Yılın Üstün Yaratıcısı (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Aktivite kazanımı
32052,2021 Yılın Yaratıcısı Özel (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Geliştirici Yıllık Ödülleri Al
32053,2021 Popüler Yaratıcıları (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Aktivite kazanımı
32054,Ejderha Teng Kaplan Sıçraması (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Cildi değiştirmek ve almak için Ye Xiaolong 'u satın alın.
32055,Zafer Kanatları (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Satın almak için Zhenzang Skin Miranda
32056,Mirage Bahçesi (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Satın almak için Çiçek Youyou Giydir Neon Giysi Hikayesi
32057,Entomolog (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Kart edinmenin tadını çıkarın
32058,Ormanda kelebek karşılaşması (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Kart edinmenin tadını çıkarın
32059,Altın ve yeşim dolu (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Tiger Heart Jade / Etkinlik Satın Alın
32060,Golden Tiger Yılbaşı Gecesi (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Aktivite kazanımı
32061,Teknoloji Siber (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Aktivite kazanımı
32062,Bahara hoş geldiniz ve kutsamalar gönderin (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Aktivite kazanımı
32063,Evren Dolu (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Tiger Roar Fung / Etkinlik Satın Alın
32064,Mini Dünya 6. Yıldönümü (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Yıldönümü etkinliği
32065,Disiplin Takımı (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Disiplin Kadrosu oyuncusu özel
32066,İsteğe bağlı grafiti (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Kart edinmenin tadını çıkarın
32067,Cool Street (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Kart edinmenin tadını çıkarın
32068,Polen Mengmeng (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Huaxiaolou resmi hayran kulübü münhasır
32069,Mini Escort (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Mini World Resmi Hayran Kulübü Özel
32070,Yıldız ve Ay Enerjisi (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Satın almak için Yin Xiaomin Giydirme Renk Sihir
32071,Güneş Büyüsü (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Satın almak için Caili Prenses Giydirme Senfoni Raider
32072,Galaxy Hunter (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Gümüş Keyfini Çıkarın
32073,Renkli Cennet (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Kart edinmenin tadını çıkarın
32074,Yıldız ışığı (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Kart edinmenin tadını çıkarın
32075,Star Friends Anıt Avatar Çerçevesi (30 Gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Yıldız arkadaşlar olay hatıra sahne
32076,Tilki Sözleri (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Qimeng Linghu 'yu satın alın · Huayang almak için (almak için [Refah]' a gidin)
32077,Muhteşem Saldırı (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Shi Qiaoling Giydirme satın alın ve alın.
32078,Bahar Ziyafeti (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Aktivite kazanımı
32079,Nee Cai Sevgilim (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Aktivite kazanımı
32080,Savaşan Cesur Kum (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Aktivite kazanımı
32081,Oasis Adventurer (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Aktivite kazanımı
32082,Tilki Sözleri (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Qimeng Linghu 'yu satın alın · Huayang almak için (almak için [Refah]' a gidin)
32083,Sürüm çok düşük,"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Elde edilecek operasyonel faaliyetler
32084,Sürüm çok düşük,"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Elde edilecek operasyonel faaliyetler
32085,Zaman Rüya Seyahati (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Kartın tadını çıkar
32086,Steam Play Cool (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Kartın tadını çıkar
32087,Sürüm çok düşük,"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Elde edilecek operasyonel faaliyetler
32088,Sürüm çok düşük,"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.",Elde edilecek operasyonel faaliyetler
32089,Lingguang Renkli (30 gün),"Kullanım: Avatar Çerçevesinin kilidini açın, kilidini açtıktan sonra kişisel merkezde geçiş yapabilirsiniz.","Alacakaranlık Günbatımı 'nı al, Huanxi alır."
